Sigla Aerea;NumeroAssentos;Origem;Destino;Partida Prevista;Situacao Chegada
AAL;295;SBGL;KMIA;01/01/2025 23:55;Pontual
AAL;295;KMIA;SBGL;01/01/2025 01:10;Antecipado
AAL;318;SBGR;KMIA;01/01/2025 00:30;Antecipado
AAL;288;KMIA;SBGR;01/01/2025 23:50;Pontual
AAL;318;KMIA;SBGR;01/01/2025 20:50;Pontual
AAL;318;SBGR;KMIA;01/01/2025 22:30;Atraso 30-60
AAL;295;SBGL;KDFW;01/01/2025 23:00;Atraso 120-240
AAL;295;KDFW;SBGL;01/01/2025 20:00;Pontual
AAL;295;KMIA;SBGL;01/01/2025 22:10;
AAL;288;SBGR;KJFK;01/01/2025 23:15;Antecipado
AAL;295;KJFK;SBGR;01/01/2025 20:00;Pontual
AAL;288;SBGR;KMIA;01/01/2025 23:50;
AAL;295;SBGR;KDFW;01/01/2025 23:00;Antecipado
AAL;295;KDFW;SBGR;01/01/2025 20:25;Antecipado
AAL;288;SBGL;KMIA;01/01/2025 22:15;Antecipado
AAL;288;KJFK;SBGL;01/01/2025 00:45;Atraso 30-60
AAL;288;SBGL;KJFK;01/01/2025 23:00;Atraso 120-240
AAL;295;KMIA;SBGL;01/01/2025 21:55;Antecipado
AAL;288;KMIA;SBGR;01/01/2025 00:55;Antecipado
AAL;272;SBGR;KMIA;;
AAL;295;SBGL;KMIA;02/01/2025 23:55;Pontual
AAL;295;KMIA;SBGL;02/01/2025 01:10;Antecipado
AAL;318;SBGR;KMIA;02/01/2025 00:30;Antecipado
AAL;288;KMIA;SBGR;02/01/2025 23:50;Atraso 60-120
AAL;318;KMIA;SBGR;02/01/2025 20:50;Pontual
AAL;318;SBGR;KMIA;02/01/2025 22:30;Atraso 30-60
AAL;295;SBGL;KDFW;02/01/2025 23:00;Atraso 120-240
AAL;295;KDFW;SBGL;02/01/2025 20:00;Pontual
AAL;295;KMIA;SBGL;02/01/2025 22:10;
AAL;288;SBGR;KJFK;02/01/2025 23:15;Antecipado
AAL;295;KJFK;SBGR;02/01/2025 20:00;Atraso 30-60
AAL;288;SBGR;KMIA;02/01/2025 23:50;
AAL;295;SBGR;KDFW;02/01/2025 23:00;Pontual
AAL;295;KDFW;SBGR;02/01/2025 20:25;Pontual
AAL;288;SBGL;KMIA;02/01/2025 22:15;Pontual
AAL;288;KJFK;SBGL;02/01/2025 00:45;Antecipado
AAL;288;SBGL;KJFK;02/01/2025 23:00;Atraso 120-240
AAL;295;KMIA;SBGL;02/01/2025 21:55;Atraso 120-240
AAL;288;KMIA;SBGR;02/01/2025 00:55;Antecipado
AAL;295;SBGL;KMIA;03/01/2025 23:55;Pontual
AAL;295;KMIA;SBGL;03/01/2025 01:10;Atraso 120-240
AAL;318;SBGR;KMIA;03/01/2025 00:30;Antecipado
AAL;288;KMIA;SBGR;03/01/2025 23:50;Pontual
AAL;318;KMIA;SBGR;03/01/2025 20:50;Pontual
